MOVIES,YEAR,RATING,VOTES,RunTime,Gross
Blood Red Sky,-2021,6.1,"21,062",121,
Masters of the Universe: Revelation,(2021– ),5,"17,870",25,
The Walking Dead,(2010–2022),8.2,"885,805",44,
Rick and Morty,(2013– ),9.2,"414,849",23,
Army of Thieves,-2021,,,,
Outer Banks,(2020– ),7.6,"25,858",50,
The Last Letter from Your Lover,-2021,6.8,"5,283",110,
Dexter,(2006–2013),8.6,"665,387",53,
Never Have I Ever,(2020– ),7.9,"34,530",30,
Virgin River,(2019– ),7.4,"27,279",44,
Gunpowder Milkshake,-2021,6,"17,989",114,
Lucifer,(2016–2021),8.1,"264,222",42,
Fear Street: 1994,-2021,6.2,"50,148",107,
Sex/Life,(2021– ),5.4,"12,172",,
American Horror Story,(2011– ),8,"286,488",60,
Grey's Anatomy,(2005– ),7.5,"266,258",41,
Breaking Bad,(2008–2013),9.4,"1,552,311",49,
The Good Doctor,(2017– ),8.1,"70,871",41,
Atypical,(2017–2021),8.3,"71,544",30,
Stranger Things,(2016– ),8.7,"885,856",51,
Fear Street: 1978,-2021,6.8,"36,634",109,
Friends,(1994–2004),8.9,"880,918",22,
The Flash,(2014– ),7.6,"320,264",43,
Peaky Blinders,(2013– ),8.8,"393,414",60,
He-Man and the Masters of the Universe,(2021– ),,,,
Chernobyl,-2021,5,"4,681",136,
Vikings,(2013–2020),8.5,"459,913",44,
Better Call Saul,(2015– ),8.8,"347,857",46,
Supernatural,(2005–2020),8.4,"404,273",44,
The Blacklist,(2013– ),8,"213,522",43,
Fear Street: 1666,-2021,6.7,"27,447",114,
Animal Kingdom,(2016– ),8.2,"26,926",60,
Brooklyn Nine-Nine,(2013–2022),8.4,"248,583",22,
NCIS: Naval Criminal Investigative Service,(2003– ),7.7,"125,619",60,
Kingdom,(2019– ),8.4,"34,906",45,
Modern Family,(2009–2020),8.4,"378,030",22,
Titans,(I) (2018– ),7.7,"73,656",45,
The Witcher,(2019– ),8.2,"336,484",60,
Downton Abbey,(2010–2015),8.7,"171,804",58,
Shingeki no kyojin,(2013–2022),9,"242,582",24,
Suits,(2011–2019),8.4,"374,263",44,
La casa de papel,(2017–2021),8.3,"341,858",70,
Schitt's Creek,(2015–2020),8.5,"90,728",22,
Outlander,(2014– ),8.4,"134,991",64,
The Last Kingdom,(2015– ),8.4,"94,650",60,
